Date,Category,Amount,Payment Method,Month
2023-05-15,Miscellaneous,3.0,Debit Card,2023-05
2023-06-06,Miscellaneous,20.0,Debit Card,2023-06
2023-10-04,Food,4.29,Debit Card,2023-10
2023-10-08,Shopping,5.35,Debit Card,2023-10
2023-10-08,Food,2.25,Debit Card,2023-10
2023-10-14,Food,20.0,CashApp,2023-10
2023-10-18,Food,5.78,Debit Card,2023-10
2023-10-20,Entertainment,1.06,Apple Pay,2023-10
2023-10-23,Food,12.0,CashApp,2023-10
2023-10-27,Food,4.7,Debit Card,2023-10
2023-10-30,Food,3.95,Debit Card,2023-10
2023-11-06,Food,7.12,Debit Card,2023-11
2023-11-08,Food,5.78,Debit Card,2023-11
2023-11-09,Food,5.36,Debit Card,2023-11
2023-11-17,Food,2.54,Debit Card,2023-11
2023-11-21,Food,4.0,Debit Card,2023-11
2023-11-24,Food,9.05,Debit Card,2023-11
2023-11-29,Food,2.54,Debit Card,2023-11
2023-11-30,Food,4.39,CashApp,2023-11
2023-12-05,Food,4.86,Debit Card,2023-12
2023-12-07,Food,2.99,CashApp,2023-12
2023-12-11,Food,5.08,Debit Card,2023-12
2023-12-11,Food,9.61,Debit Card,2023-12
2023-12-12,Food,10.59,Debit Card,2023-12
2023-12-12,Food,3.79,Debit Card,2023-12
2024-01-09,Food,7.04,Debit Card,2024-01
2024-01-12,Food,5.39,Debit Card,2024-01
2024-01-22,Food,11.5,Debit Card,2024-01
2024-01-29,Food,6.38,Debit Card,2024-01
2024-02-02,Food,7.04,Debit Card,2024-02
2024-02-05,Food,1.82,Debit Card,2024-02
2024-02-05,Food,5.14,Debit Card,2024-02
2024-02-08,Food,4.25,Debit Card,2024-02
2024-02-08,Food,8.6,Debit Card,2024-02
2024-02-09,Miscellaneous,10.0,CashApp,2024-02
2024-02-09,Food,3.54,CashApp,2024-02
2024-02-13,Food,4.29,Debit Card,2024-02
2024-02-13,Food,2.14,Debit Card,2024-02
2024-02-21,Food,18.89,Debit Card,2024-02
2024-02-25,Food,7.13,Debit Card,2024-02
2024-02-25,Food,3.0,CashApp,2024-02
2024-02-25,Food,5.45,Debit Card,2024-02
2024-02-28,Food,3.99,Debit Card,2024-02
2024-02-28,Food,5.08,Debit Card,2024-02
2024-03-09,Food,2.99,CashApp,2024-03
2024-03-13,Food,4.29,Debit Card,2024-03
2024-03-14,Food,5.33,Debit Card,2024-03
2024-03-21,Food,4.29,Debit Card,2024-03
2024-04-01,Food,8.49,Debit Card,2024-04
2024-04-03,Food,7.09,Debit Card,2024-04
